Day Trade,Start Week,End Week,Start Date,End Date,#Samples,Invested (USD),Cashed (USD),Cashed/Invested (%),Last Trade,Last Price (USD),Profit Exit Level (%),Loss Exit Level (%),#Stocks,WINDOW5,WINDOW20,WINDOW50
close,897,966,3/2/2015,7/1/2016,139259,-20604,20983,101.8394487,BUY + SELL NOW,136.84,115,70,50,7,21,56
close,1015,1033,6/5/2017,10/13/2017,37516,-14058.5,13808,98.21815983,BUY + SELL NOW,138.35,115,70,50,7,21,56
close,900,903,3/23/2015,4/17/2015,7669,0,0,0,SELL,138.98,115,70,50,7,21,56
close,1062,1075,4/30/2018,8/3/2018,28302,-14328.5,13991.5,97.64804411,BUY + SELL NOW,142.82,115,70,50,7,21,56
close,961,1059,5/23/2016,12/31/2018,196888,-36287,37188.5,102.4843608,SELL,113.01,115,70,50,7,21,56
close,916,968,7/13/2015,7/15/2016,105369,-20726.5,21417.5,103.3338962,BUY + SELL NOW,143.53,115,70,50,7,21,56
close,895,937,2/17/2015,12/11/2015,86078,-28337.5,27817.5,98.16497574,SELL,119.69,115,70,50,7,21,56
close,896,1077,2/23/2015,12/31/2018,363712,-79327,78344.5,98.76145575,SELL,113.01,115,70,50,7,21,56
close,985,1020,11/7/2016,7/14/2017,70053,-15309,16017.5,104.6279966,SELL,143.2,115,70,50,7,21,56
close,974,996,8/22/2016,1/27/2017,44531,-21816.5,22510,103.1787867,BUY + SELL NOW,162.88,115,70,50,7,21,56
close,910,1023,6/1/2015,8/4/2017,225460,-35330,36468,103.2210586,SELL,134.71,115,70,50,7,21,56
close,949,1072,2/29/2016,12/31/2018,247628,-49843.5,51309,102.9402028,SELL,113.01,115,70,50,7,21,56
close,1016,1067,6/12/2017,12/31/2018,105716,-22784,22521,98.84568118,SELL,113.01,115,70,50,7,21,56
close,946,1074,2/8/2016,12/31/2018,257972,-49675.5,49887.5,100.4267697,SELL,113.01,115,70,50,7,21,56
close,935,956,11/23/2015,4/22/2016,42571,-12215,12651,103.5693819,BUY + SELL NOW,133.76,115,70,50,7,21,56
close,960,1045,5/16/2016,12/31/2018,169962,-28389,27452,96.69942583,BUY + SELL NOW,113.01,115,70,50,7,21,56
close,1001,1089,2/27/2017,12/31/2018,181921,-30474.5,30432,99.86053914,SELL,113.01,115,70,50,7,21,56
close,947,1003,2/16/2016,3/17/2017,111874,-19535,21648,110.8164832,BUY + SELL NOW,162.79,115,70,50,7,21,56
close,939,948,12/21/2015,2/26/2016,18990,-6059,5886.5,97.15299554,SELL,119.62,115,70,50,7,21,56
close,926,1055,9/21/2015,12/31/2018,258404,-49527,54717.5,110.4801421,SELL,113.01,115,70,50,7,21,56
close,895,1069,2/17/2015,12/31/2018,349091,-79053,79465.5,100.5218018,SELL,113.01,115,70,50,7,21,56
close,936,1004,11/30/2015,3/24/2017,135221,-34120,35221.5,103.2283118,BUY + SELL NOW,160.98,115,70,50,7,21,56
